kit_id_anonymized,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,cluster
5c58ec14be0be7bf9cc0b93c24e3ad2a,1.4203469719531248,1.957443867422247,-0.9410195938814252,0.6574257937500546,1.2927765607444777,-1.0562379724814162,-0.1897883183065547,-0.0891930763341695,-0.4722789940616188,-0.2653697524581059,-0.1296220678948875,-0.184226427446169,-0.1614701217856049,-0.2194343930719601,0.9296865650071168,-0.163486944360324,-0.1234968610756049,-0.0506517141421767,-0.1586175872752796,-0.3832015812849587,3.314286041954739,-1.2445160738701273,-0.3673269578095854,-0.2436330190679868,0.1288473993106997,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4e7c328eb8439087aae655af6e7abed8,0.1175915167477473,-0.3925946739745188,0.0233926889953197,0.3216442594395124,0.1285464855697193,0.5705973114972378,-0.1675231894740687,0.250232760273429,-0.4195845089979221,-0.2653697524581059,-0.1296220678948875,-0.184226427446169,-0.1614701217856049,0.3011554574143576,0.4747431220407683,-0.163486944360324,-0.0994298662301107,-0.0506517141421767,0.1324184992725272,-0.1874810979609797,-0.2226626993809061,0.7761797959691578,-0.1397145903931981,-0.1510887482591514,0.5054353511852496,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
cd18d878132574b26b56aa117096844e,0.1175915167477473,-1.5206131738449664,-0.9848014455025206,0.6636159831560471,0.8242452102262616,0.5917257039765512,-0.1632604722631614,-0.2647245219685015,-0.4895549459061311,-0.2653697524581059,-0.1296220678948875,-0.184226427446169,-0.1614701217856049,-0.2194343930719601,0.9498210344286516,-0.163486944360324,-0.1234968610756049,-0.0506517141421767,0.3772262358709927,1.2165660764148287,0.3647191577221252,0.324549366695272,-0.2868545682961956,-0.1682969489702888,0.8045881209235741,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
05567bdf7da46e24bcdb8a9fc0a192d0,-1.1851639384576302,-1.332610090533225,1.577127956869637,-1.4161875579542718,1.7208716391810788,0.3917243862524858,0.0939402832499212,1.361935711339146,2.375614969665858,-0.2232016928363436,-0.1296220678948875,-0.184226427446169,-0.1614701217856049,0.6066941240531555,-1.545143459768171,2.0748982270537044,0.0583677333379817,-0.0506517141421767,-0.1586175872752796,1.469082843935166,0.6135658729297675,-0.3426404866428617,-0.3019474746044355,-0.1493444570380933,-1.0438902888859758,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9915c0b27464e73fefe7f277260b4014,0.1175915167477473,-1.614614715500837,-0.7985693522397992,0.6619607842639007,0.6578185392606202,-0.0005359219288338,-0.1897883183065547,-0.2647245219685015,-0.0014742331110406,-0.2653697524581059,-0.1296220678948875,-0.184226427446169,-0.1614701217856049,-0.2194343930719601,0.7890591746967234,-0.163486944360324,-0.1234968610756049,-0.0506517141421767,-0.1586175872752796,-0.0044085162684336,0.0769690065098977,0.1804430353373804,-0.3673269578095854,-0.2436330190679868,0.5622175496566286,1,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
a68f03baf0989c63a39e58f3dad2c6ab,0.1175915167477473,-0.1105900490069069,-0.84776678099601,0.63853366545339,-1.1746523380351803,-1.0869412864049353,-0.1897883183065547,-0.2647245219685015,-0.376626781074911,-0.2605788475367787,-0.1296220678948875,-0.184226427446169,-0.1614701217856049,-0.1483277898830864,0.8814845408094268,-0.163486944360324,-0.1234968610756049,-0.0506517141421767,-0.1586175872752796,-0.3832015812849587,-0.477777871951615,-1.3289633583787452,-0.3673269578095854,-0.2436330190679868,0.1003039076440502,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
43ab8956a77b66262b9934ddcc4c195d,0.1175915167477473,0.4534192009283169,-0.5233551140866856,0.6129743035621571,1.1357965264660537,-1.5128988944136388,-0.1897883183065547,-0.2647245219685015,0.6014179540856274,-0.2653697524581059,-0.1296220678948875,-0.184226427446169,-0.1614701217856049,-0.2194343930719601,0.5354619679592918,-0.163486944360324,-0.1234968610756049,-0.0506517141421767,-0.1586175872752796,3.96422262765528,0.3831430399617423,-1.0855568069732315,-0.3673269578095854,4.830617910525499,-0.0947153415586369,1,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,2
9e09d18e3a7ddbe042e6768a6bb3eca7,1.4203469719531248,-0.4865962156303894,-0.1695561256497997,0.5869396931043362,0.2665035074290703,0.6537354862192561,-0.1585057235408364,-0.2647245219685015,-0.5236078689139588,-0.2653697524581059,-0.1296220678948875,7.208900636929723,-0.1029301736227425,-0.2194343930719601,-1.1622763532990448,-0.163486944360324,-0.1234968610756049,-0.0506517141421767,-0.1586175872752796,-0.2103334108124986,0.1285592136185565,0.5515536359540373,-0.3290802713903347,-0.2436330190679868,0.7646689910681858,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
853eb6550d450cc423c88f8bff79fe3b,0.1175915167477473,1.2994330758311523,-0.2988521859941923,0.3572710392449884,0.8874243171527854,0.2395447354819034,-0.1723357776115406,0.2727324703183745,-0.487791901435358,-0.2653697524581059,-0.1296220678948875,-0.184226427446169,-0.1614701217856049,-0.2194343930719601,0.6357506828487944,-0.163486944360324,-0.0909450464092352,-0.0506517141421767,-0.1114909299815084,-0.112737528992344,-0.245221119489951,0.2820910868047265,0.0360817152094608,-0.2436330190679868,0.4010154906876843,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
67611cf6c4d6865aa9a07736662ecbd3,0.1175915167477473,-1.2386085488773544,-1.0655522345216792,0.6670432131936722,-0.8270328793396754,0.9689653950510252,-0.1897883183065547,-0.2647245219685015,-0.5536855901735863,-0.2653697524581059,-0.1296220678948875,-0.184226427446169,-0.1614701217856049,-0.2194343930719601,0.9870493899869276,-0.163486944360324,-0.1234968610756049,-0.0506517141421767,-0.1586175872752796,-0.3585584859280839,-0.4719481488812464,1.1965346565050456,-0.1241395367037075,-0.2436330190679868,0.96098168650658,1,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
